Date,DayName,SolarRadiation_kWh_m2,SolarRadiation_Wh_m2,Source,FetchedAt,PanelCount,TotalPanelArea_m2,PerPanelYield_kWh,TotalYield_kWh,BatteryCount,BatteryCapacityTotal_kWh,TotalChargeRate_kW,Chargeable_kWh,ChargePercentage
2026-01-18,Sunday,1.12,1120.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.34272,2.39904,1,10.0,5.0,2.39904,23.99
2026-01-18,Sunday,1.102,1102.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.337212,2.360484,1,10.0,5.0,2.360484,23.6
2026-01-18,Tuesday,1.317,1317.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.403002,2.821014,1,10.0,5.0,2.821014,28.21
2026-01-18,Tuesday,0.806,806.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.246636,1.726452,1,10.0,5.0,1.726452,17.26
2026-01-18,Tuesday,0.786,786.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.240516,1.683612,1,10.0,5.0,1.683612,16.84
2026-01-18,Tuesday,0.744,744.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.227664,1.593648,1,10.0,5.0,1.593648,15.94
2026-01-18,Tuesday,1.04,1040.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.31824,2.22768,1,10.0,5.0,2.22768,22.28
2026-01-18,Tuesday,0.379,379.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.115974,0.811818,1,10.0,5.0,0.811818,8.12
2026-01-18,Tuesday,1.023,1023.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.313038,2.191266,1,10.0,5.0,2.191266,21.91
2026-01-18,Tuesday,0.684,684.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.209304,1.465128,1,10.0,5.0,1.465128,14.65
2026-01-18,Tuesday,1.472,1472.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.450432,3.153024,1,10.0,5.0,3.153024,31.53
2026-01-18,Tuesday,1.642,1642.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.502452,3.517164,1,10.0,5.0,3.517164,35.17
2026-01-19,Tuesday,0.546,546.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.167076,1.169532,1,10.0,5.0,1.169532,11.7
2026-01-19,Tuesday,1.219,1219.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.373014,2.611098,1,10.0,5.0,2.611098,26.11
2026-01-20,Wednesday,0.5,500.0,tutiempo.net,2026-01-18 18:00:34,7,12.6,0.153,1.071,1,10.0,5.0,1.071,10.71
