Date,DayName,SolarRadiation_kWh_m2,SolarRadiation_Wh_m2,Source,FetchedAt
2026-01-18,Sunday,1.12,1120.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Sunday,1.102,1102.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,1.317,1317.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,0.806,806.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,0.786,786.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,0.744,744.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,1.04,1040.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,0.379,379.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,1.023,1023.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,0.684,684.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,1.472,1472.0,tutiempo.net,2026-01-18 18:00:34
2026-01-18,Tuesday,1.642,1642.0,tutiempo.net,2026-01-18 18:00:34
2026-01-19,Tuesday,0.546,546.0,tutiempo.net,2026-01-18 18:00:34
2026-01-19,Tuesday,1.219,1219.0,tutiempo.net,2026-01-18 18:00:34
2026-01-20,Wednesday,0.5,500.0,tutiempo.net,2026-01-18 18:00:34
