Date,Time,SolarRadiation_W_m2,SolarRadiation_Wh_m2,Source,FetchedAt
2026-01-19,09:00,3.0,3.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,54.0,54.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,108.0,108.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,94.0,94.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,182.0,182.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,226.0,226.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,151.0,151.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,78.0,78.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,3.0,3.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,54.0,54.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,108.0,108.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,94.0,94.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,182.0,182.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,226.0,226.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,151.0,151.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,78.0,78.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,4.0,4.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,67.0,67.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,133.0,133.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,117.0,117.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,158.0,158.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,202.0,202.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,177.0,177.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,51.0,51.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,3.0,3.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,54.0,54.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,108.0,108.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,94.0,94.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,182.0,182.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,226.0,226.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,151.0,151.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,78.0,78.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,4.0,4.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,67.0,67.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,133.0,133.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,117.0,117.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,158.0,158.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,202.0,202.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,177.0,177.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,51.0,51.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,24.0,24.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,49.0,49.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,108.0,108.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,140.0,140.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,64.0,64.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,47.0,47.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,22.0,22.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,1.0,1.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,3.0,3.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,54.0,54.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,108.0,108.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,94.0,94.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,182.0,182.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,226.0,226.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,151.0,151.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,78.0,78.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,4.0,4.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,10:00,67.0,67.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,11:00,133.0,133.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,12:00,117.0,117.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,13:00,158.0,158.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,14:00,202.0,202.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,15:00,177.0,177.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,16:00,51.0,51.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
2026-01-19,09:00,2.0,2.0,tutiempo.net,2026-01-19 09:54:16
