Date,SolarRadiation_kWh_m2,SolarRadiation_Wh_m2,Source,FetchedAt,TotalYield_kWh,Chargeable_kWh,ChargePercentage,BatteryCapacity_kWh,MaxChargeRate_kW
2026-01-18,1.166,1166.0,tutiempo.net,2026-01-18 00:58:54,1.982,1.982,19.8,10.0,5.0
2026-01-19,0.753,753.0,tutiempo.net,2026-01-18 00:58:54,1.28,1.28,12.8,10.0,5.0
2026-01-20,1.195,1195.0,tutiempo.net,2026-01-18 00:58:54,2.031,2.031,20.3,10.0,5.0
2026-01-21,0.427,427.0,tutiempo.net,2026-01-18 00:58:54,0.726,0.726,7.3,10.0,5.0
2026-01-22,0.353,353.0,tutiempo.net,2026-01-18 00:58:54,0.6,0.6,6.0,10.0,5.0
2026-01-23,0.7,700.0,tutiempo.net,2026-01-18 00:58:54,1.19,1.19,11.9,10.0,5.0
2026-01-24,1.279,1279.0,tutiempo.net,2026-01-18 00:58:54,2.174,2.174,21.7,10.0,5.0
2026-01-25,1.503,1503.0,tutiempo.net,2026-01-18 00:58:54,2.555,2.555,25.6,10.0,5.0
2026-01-26,1.094,1094.0,tutiempo.net,2026-01-18 00:58:54,1.86,1.86,18.6,10.0,5.0
2026-01-27,0.393,393.0,tutiempo.net,2026-01-18 00:58:54,0.668,0.668,6.7,10.0,5.0
2026-01-28,0.401,401.0,tutiempo.net,2026-01-18 00:58:54,0.682,0.682,6.8,10.0,5.0
2026-01-29,0.492,492.0,tutiempo.net,2026-01-18 00:58:54,0.836,0.836,8.4,10.0,5.0
2026-01-30,1.458,1458.0,tutiempo.net,2026-01-18 00:58:54,2.479,2.479,24.8,10.0,5.0
2026-01-31,0.772,772.0,tutiempo.net,2026-01-18 00:58:54,1.312,1.312,13.1,10.0,5.0
2026-02-01,0.4,400.0,tutiempo.net,2026-01-18 00:58:54,0.68,0.68,6.8,10.0,5.0
