Date,Time,SolarRadiation_W_m2,SolarRadiation_Wh_m2,Source,FetchedAt
2026-01-18,09:00,4.0,4.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,10:00,61.0,61.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,11:00,154.0,154.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,12:00,213.0,213.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,13:00,252.0,252.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,14:00,237.0,237.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,15:00,171.0,171.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,16:00,73.0,73.0,tutiempo.net,2026-01-18 00:08:52
2026-01-18,17:00,1.0,1.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,09:00,4.0,4.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,10:00,81.0,81.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,11:00,133.0,133.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,12:00,148.0,148.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,13:00,119.0,119.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,14:00,118.0,118.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,15:00,108.0,108.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,16:00,40.0,40.0,tutiempo.net,2026-01-18 00:08:52
2026-01-19,17:00,2.0,2.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,09:00,3.0,3.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,10:00,52.0,52.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,11:00,154.0,154.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,12:00,240.0,240.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,13:00,274.0,274.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,14:00,241.0,241.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,15:00,164.0,164.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,16:00,65.0,65.0,tutiempo.net,2026-01-18 00:08:52
2026-01-20,17:00,2.0,2.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,09:00,2.0,2.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,10:00,24.0,24.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,11:00,54.0,54.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,12:00,85.0,85.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,13:00,98.0,98.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,14:00,83.0,83.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,15:00,57.0,57.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,16:00,22.0,22.0,tutiempo.net,2026-01-18 00:08:52
2026-01-21,17:00,2.0,2.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,09:00,2.0,2.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,10:00,25.0,25.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,11:00,50.0,50.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,12:00,66.0,66.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,13:00,72.0,72.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,14:00,65.0,65.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,15:00,48.0,48.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,16:00,23.0,23.0,tutiempo.net,2026-01-18 00:08:52
2026-01-22,17:00,2.0,2.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,09:00,3.0,3.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,10:00,26.0,26.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,11:00,51.0,51.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,12:00,67.0,67.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,13:00,73.0,73.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,14:00,194.0,194.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,15:00,184.0,184.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,16:00,96.0,96.0,tutiempo.net,2026-01-18 00:08:52
2026-01-23,17:00,6.0,6.0,tutiempo.net,2026-01-18 00:08:52
2026-01-24,09:00,6.0,6.0,tutiempo.net,2026-01-18 00:08:52
2026-01-24,10:00,74.0,74.0,tutiempo.net,2026-01-18 00:08:52
